scenario,interval_begin,interval_id,interval_flow,interval_harmonicMeanSpeed
attack,0.0,E0_1_400m,1996.8,27.970333333333336
attack,0.0,E0_1_4100m,977.2,26.708000000000002
attack,0.0,E0_1_4200m,949.2,26.764333333333337
attack,0.0,E0_1_4300m,916.8,26.82466666666667
attack,0.0,E0_1_4400m,886.4,26.87133333333333
attack,0.0,E0_1_4500m,859.2,26.872666666666664
attack,0.0,E0_1_4600m,832.0,26.912
attack,0.0,E0_1_4700m,806.8,26.942333333333334
attack,0.0,E0_1_4800m,783.6,26.983999999999998
attack,0.0,E0_1_4900m,754.4,27.033666666666665
attack,0.0,E0_1_5000m,728.0,27.06433333333333
attack,0.0,E0_1_500m,1974.0,27.808
attack,0.0,E0_1_600m,1960.4,27.666333333333334
attack,0.0,E0_1_700m,1936.8,27.548
attack,0.0,E0_1_800m,1917.6,27.43766666666666
attack,0.0,E0_1_900m,1896.4,27.351333333333333
attack,300.0,E0_0_0m,0.0,-1.0
attack,300.0,E0_0_1000m,1826.8,25.188999999999997
attack,300.0,E0_0_100m,1859.2,26.041333333333334
attack,300.0,E0_0_1100m,1825.6,25.099666666666664
attack,300.0,E0_0_1200m,1824.8,24.98866666666667
attack,300.0,E0_0_1300m,1818.8,24.907999999999998
attack,300.0,E0_0_1400m,1808.4,24.85566666666666
attack,300.0,E0_0_1500m,1810.0,24.80333333333333
attack,300.0,E0_0_1600m,1811.2,24.770000000000003
attack,300.0,E0_0_1700m,1814.4,24.752666666666663
attack,300.0,E0_0_1800m,1814.8,24.698333333333334
attack,300.0,E0_0_1900m,1814.0,24.64133333333334
attack,300.0,E0_0_2000m,1813.2,24.58566666666667
attack,300.0,E0_0_200m,1876.4,26.02966666666667
attack,300.0,E0_0_2100m,1810.4,24.533
attack,300.0,E0_0_2200m,1813.2,24.483
attack,300.0,E0_0_2300m,1816.0,24.444000000000003
attack,300.0,E0_0_2400m,1812.8,24.406666666666663
attack,300.0,E0_0_2500m,1811.6,24.383
attack,300.0,E0_0_2600m,1810.0,24.352333333333334
attack,300.0,E0_0_2700m,1809.6,24.289
attack,300.0,E0_0_2800m,1806.4,24.274666666666672
attack,300.0,E0_0_2900m,1808.0,24.270333333333333
attack,300.0,E0_0_3000m,1809.2,24.270000000000003
attack,300.0,E0_0_300m,1870.4,25.91133333333333
attack,300.0,E0_0_3100m,1805.6,24.250666666666667
attack,300.0,E0_0_3200m,1806.0,24.247333333333327
attack,300.0,E0_0_3300m,1811.2,24.242
attack,300.0,E0_0_3400m,1813.6,24.228333333333335
attack,300.0,E0_0_3500m,1808.8,24.191
attack,300.0,E0_0_3600m,1806.8,24.164666666666665
attack,300.0,E0_0_3700m,1808.4,24.176333333333332
attack,300.0,E0_0_3800m,1805.2,24.16
attack,300.0,E0_0_3900m,1803.6,24.122666666666667
attack,300.0,E0_0_4000m,1804.0,24.108999999999998
attack,300.0,E0_0_400m,1857.6,25.779
attack,300.0,E0_0_4100m,1804.0,24.095666666666663
attack,300.0,E0_0_4200m,1802.4,24.10733333333333
attack,300.0,E0_0_4300m,1803.6,24.125333333333337
attack,300.0,E0_0_4400m,1802.4,24.144333333333332
attack,300.0,E0_0_4500m,1796.8,24.14666666666667
attack,300.0,E0_0_4600m,1791.2,24.13066666666667
attack,300.0,E0_0_4700m,1788.0,24.139666666666674
attack,300.0,E0_0_4800m,1787.2,24.183999999999994
attack,300.0,E0_0_4900m,1787.2,24.225
attack,300.0,E0_0_5000m,1778.0,24.263666666666662
attack,300.0,E0_0_500m,1852.4,25.676999999999996
attack,300.0,E0_0_600m,1845.2,25.576
attack,300.0,E0_0_700m,1842.4,25.447333333333336
attack,300.0,E0_0_800m,1830.4,25.329999999999995
attack,300.0,E0_0_900m,1826.8,25.249
attack,300.0,E0_1_0m,0.0,-1.0
attack,300.0,E0_1_1000m,2230.0,27.08066666666667
attack,300.0,E0_1_100m,2206.0,27.659666666666666
attack,300.0,E0_1_1100m,2231.2,26.969666666666665
attack,300.0,E0_1_1200m,2238.8,26.86733333333333
attack,300.0,E0_1_1300m,2243.2,26.778000000000002
attack,300.0,E0_1_1400m,2248.4,26.69433333333334
attack,300.0,E0_1_1500m,2248.8,26.632333333333335
attack,300.0,E0_1_1600m,2252.8,26.56366666666667
attack,300.0,E0_1_1700m,2251.6,26.50333333333333
attack,300.0,E0_1_1800m,2256.0,26.451666666666668
attack,300.0,E0_1_1900m,2254.4,26.387000000000004
attack,300.0,E0_1_2000m,2246.4,26.323333333333334
attack,300.0,E0_1_200m,2186.8,27.908666666666665
attack,300.0,E0_1_2100m,2245.6,26.25166666666667
attack,300.0,E0_1_2200m,2236.8,26.217666666666663
attack,300.0,E0_1_2300m,2230.0,26.17966666666667
attack,300.0,E0_1_2400m,2224.8,26.140333333333334
attack,300.0,E0_1_2500m,2226.0,26.106999999999996
attack,300.0,E0_1_2600m,2225.2,26.076
attack,300.0,E0_1_2700m,2226.4,26.057666666666663
